confid,dist_name,params
1_hour_0,powerlognorm,"[0.29309301385709424, 0.5146122043060619, -0.04455179712503501, 0.1585461470971944]"
1_hour_1,powerlognorm,"[0.18125375200983423, 0.39117434720244115, -0.04419521059642204, 0.1140510486013047]"
1_hour_2,powerlognorm,"[0.20835880384288424, 0.38542613836772033, -0.042951593459996204, 0.11203836232861404]"
1_hour_3,powerlognorm,"[0.2238421127451935, 0.38237273546302797, -0.042590836382247, 0.11205618299145112]"
1_hour_4,powerlognorm,"[0.21816525941614684, 0.3790841010797844, -0.040203966770013325, 0.1083954920068146]"
1_hour_5,powerlognorm,"[0.2094252413955336, 0.38332838125300045, -0.04218854652954973, 0.11120676099670346]"
1_hour_6,powerlognorm,"[0.19922351750485678, 0.3991859555492329, -0.04967691851413431, 0.12887439580380194]"
1_hour_7,powerlognorm,"[0.18942090870056183, 0.4007283203072757, -0.06557956314783993, 0.17244440690934504]"
1_hour_8,powerlognorm,"[0.23074886155814475, 0.4113541052437153, -0.08872305457963003, 0.23818173030587836]"
1_hour_9,powerlognorm,"[0.22910889801651554, 0.42663829650901086, -0.08268619109114325, 0.2261023006928668]"
1_hour_10,powerlognorm,"[0.5554911742118649, 0.6804891502898358, -0.04488190909370886, 0.27433958439259953]"
1_hour_11,lognorm,"[0.8975551915210112, -0.028349808988898502, 0.374555388851181]"
1_hour_12,lognorm,"[0.8956351396224469, -0.029107960284835283, 0.37684034108647246]"
1_hour_13,lognorm,"[0.8879712237743032, -0.030337068979706686, 0.3912708635921345]"
1_hour_14,lognorm,"[0.8741868321923257, -0.030809141705448247, 0.38333733691241756]"
1_hour_15,powerlognorm,"[0.5072361360641139, 0.6481291691852602, -0.049839823985123745, 0.2687377402985935]"
1_hour_16,lognorm,"[0.7952835762963653, -0.05337637506064501, 0.4977829144039282]"
1_hour_17,lognorm,"[0.703968049604162, -0.10676153196010006, 0.7079250683861369]"
1_hour_18,lognorm,"[0.6412545633331586, -0.15650196621851364, 0.8555424046494919]"
1_hour_19,lognorm,"[0.6182977781229364, -0.16591871049448545, 0.8719746183463046]"
1_hour_20,lognorm,"[0.5962350061056338, -0.15809996243263913, 0.8165944102707894]"
1_hour_21,powerlognorm,"[0.4736459473524144, 0.4176821707242283, -0.2132693382197131, 0.6129694212682592]"
1_hour_22,powerlognorm,"[0.6479657164349891, 0.49210946870696853, -0.1631167390365917, 0.5818692132473977]"
1_hour_23,powerlognorm,"[4.791032900871887, 1.2075547824176753, -0.02829028169930988, 1.6241255180436664]"
2_hour_0,powerlognorm,"[0.16914309419651813, 0.40010405078458494, -0.05257927755107614, 0.13255881807288297]"
2_hour_1,powerlognorm,"[0.18186266218042368, 0.38981779095818747, -0.04267098275119606, 0.11119761521894961]"
2_hour_2,powerlognorm,"[0.14007234322223971, 0.3176403780192453, -0.04850467522244062, 0.10360266245938038]"
2_hour_3,powerlognorm,"[0.22070951379981557, 0.3840838212850337, -0.04094047268854652, 0.10878498953939202]"
2_hour_4,powerlognorm,"[0.21604216178547403, 0.3822753692852208, -0.039003473603118344, 0.10640032552263293]"
2_hour_5,powerlognorm,"[0.13209875538678223, 0.3182319777282837, -0.04715913719535829, 0.1002167975526222]"
2_hour_6,powerlognorm,"[0.187759730128379, 0.39441741958314225, -0.0473142322720314, 0.12451857860961563]"
2_hour_7,powerlognorm,"[0.17796504315335876, 0.3974339724396556, -0.06354580679472825, 0.166595326233402]"
2_hour_8,powerlognorm,"[0.20473552426357486, 0.39521620212843056, -0.08779732142670565, 0.2286285588942103]"
2_hour_9,powerlognorm,"[0.20312662089385553, 0.41029358593115073, -0.08363485624684971, 0.21607016500411536]"
2_hour_10,lognorm,"[0.8528876283446329, -0.034243331499964766, 0.39233870050326014]"
2_hour_11,powerlognorm,"[0.2850414876251167, 0.5397462507916271, -0.05238986539469249, 0.18627506075198752]"
2_hour_12,powerlognorm,"[0.3783443063595533, 0.6143124240153017, -0.046982433114183896, 0.20687457432867948]"
2_hour_13,powerlognorm,"[0.5074019467386574, 0.679600920329783, -0.04473977834286694, 0.25180203698059833]"
2_hour_14,powerlognorm,"[0.24621756024845304, 0.49372305623435037, -0.05947218890219419, 0.18500244707657335]"
2_hour_15,powerlognorm,"[0.26687848858242225, 0.4949190053675099, -0.06386738431784629, 0.19991012650468093]"
2_hour_16,powerlognorm,"[0.2720391976807719, 0.47605776904719804, -0.0771782300335154, 0.23940453471612153]"
2_hour_17,lognorm,"[0.7546074444884322, -0.06845543457920064, 0.5801650356883642]"
2_hour_18,lognorm,"[0.6751253045315417, -0.1289696776364146, 0.7952091059512889]"
2_hour_19,lognorm,"[0.6374108742506799, -0.14505085371830406, 0.8366635409500165]"
2_hour_20,powerlognorm,"[0.44604581013334077, 0.43480948763242283, -0.2013364006505572, 0.6011037246385689]"
2_hour_21,powerlognorm,"[0.35110699245785965, 0.38386950183506896, -0.20258782819963347, 0.5345089627219823]"
2_hour_22,powerlognorm,"[0.39819912143223635, 0.4052444383639551, -0.18017122638952454, 0.4911149047235028]"
2_hour_23,lognorm,"[0.7436599471372061, -0.05378875385723661, 0.4366427673284993]"
3_hour_0,powerlognorm,"[0.14822507045474365, 0.3860586615083119, -0.048604983449770885, 0.12369717044374681]"
3_hour_1,powerlognorm,"[0.16571902487352397, 0.38509620382228216, -0.0392855098442107, 0.10505761437747675]"
3_hour_2,powerlognorm,"[0.18283068615347675, 0.3815138666957456, -0.036843565130381235, 0.10045994642597869]"
3_hour_3,powerlognorm,"[0.1970261115357011, 0.38065022178554314, -0.03734730407807265, 0.10176127303988383]"
3_hour_4,powerlognorm,"[0.18581955987290016, 0.3790948706843711, -0.034423218142608375, 0.09645877977917208]"
