confid,dist_name,params
1_hour_0,beta,"[1.118740372821129, 7682338034.024649, 0.05982830219499004, 4255407947.470172]"
1_hour_1,powerlognorm,"[3.7341383392989225, 1.5281511931485499, 0.0490175936587577, 1.3552927393484742]"
1_hour_2,powerlognorm,"[3.3305040561454744, 1.5753545930390849, 0.05609774562946533, 1.0233504885711318]"
1_hour_3,lognorm,"[1.074025772959307, 0.05543837069767937, 0.22620254091509523]"
1_hour_4,lognorm,"[1.0668396623307304, 0.0529296864786819, 0.2099972443997647]"
1_hour_5,lognorm,"[1.067609131167041, 0.05344548392671837, 0.22299698341100668]"
1_hour_6,powerlognorm,"[1.5020099789330708, 1.1498657176572644, 0.04653642547412884, 0.41370117955036156]"
1_hour_7,lognorm,"[1.0622789000823767, 0.0472033010297773, 0.41309339570379267]"
1_hour_8,powerlognorm,"[0.40488746082085625, 0.6859254154998056, 0.009267010659603947, 0.316158681284174]"
1_hour_9,powerlognorm,"[0.06309965833047117, 0.32061663245376426, -0.03502029132745291, 0.17234582349835778]"
1_hour_10,powerlognorm,"[0.1082039783937043, 0.3884605504526428, -0.07288442766999303, 0.22619260086641527]"
1_hour_11,powerlognorm,"[0.11226423673322154, 0.39056330039879933, -0.09561959876457704, 0.25211592253777826]"
1_hour_12,powerlognorm,"[0.12721140403143247, 0.4171209084715357, -0.10489133064751247, 0.2625567169366065]"
1_hour_13,powerlognorm,"[0.10408533832035752, 0.3904364275689527, -0.08823825203303153, 0.22894784667379647]"
1_hour_14,powerlognorm,"[0.6165282936256306, 0.8937644033676821, 0.031120245287552032, 0.40759092631663085]"
1_hour_15,powerlognorm,"[0.5969580899826195, 0.8342872633121019, 0.028286610736449107, 0.3822913635927846]"
1_hour_16,powerlognorm,"[0.1283282138468591, 0.3852873991751651, -0.04459493348477707, 0.27178648727680865]"
1_hour_17,powerlognorm,"[0.10723656454006564, 0.3547355919848241, 0.025583918022769186, 0.29496824939275196]"
1_hour_18,powerlognorm,"[0.822744655469706, 0.9083489915308602, 0.1817390777039744, 0.73228510202427]"
1_hour_19,powerlognorm,"[0.8582199393261092, 0.8563316670678085, 0.1513633969039128, 0.8733589471391576]"
1_hour_20,powerlognorm,"[0.6399768007140743, 0.6485861123452206, 0.058809818231701894, 0.8325156314729865]"
1_hour_21,powerlognorm,"[0.29725238081462213, 0.5075593735049266, 0.047220895022526174, 0.4875800963187462]"
1_hour_22,powerlognorm,"[0.2701746564539369, 0.4308233048293037, -0.12330948134130366, 0.5864866106082018]"
1_hour_23,powerlognorm,"[0.7099644794593272, 0.6838046983351301, -0.03708096438598311, 0.6122959689346243]"
2_hour_0,beta,"[0.8493206008753661, 67.9590567367247, 0.06399999999999999, 52.285110696263445]"
2_hour_1,powerlognorm,"[14.49180278783912, 2.3184392844197923, 0.05791637104652042, 14.111310074076712]"
2_hour_2,powerlognorm,"[8.38851305102494, 2.1881799809939144, 0.06623766903169938, 4.919119776183833]"
2_hour_3,lognorm,"[1.166011592054804, 0.05145951420564451, 0.21896177893128282]"
2_hour_4,powerlognorm,"[0.006250058514281096, 0.11023695047335286, 0.021043720908691353, 0.04716011977329972]"
2_hour_5,lognorm,"[1.1897371924115747, 0.05320959353366053, 0.21786794337086288]"
2_hour_6,powerlognorm,"[0.538689060852326, 0.8743896825685109, 0.04276029862862373, 0.1692649295008304]"
2_hour_7,lognorm,"[1.194277763798583, 0.05304907224166522, 0.4086842211077355]"
2_hour_8,powerlognorm,"[0.11704789385269053, 0.4071928334950087, -0.05250905184929321, 0.19013465127160842]"
2_hour_9,powerlognorm,"[0.1118353597760588, 0.425134053553767, -0.08479347566758202, 0.19430674681066046]"
2_hour_10,powerlognorm,"[0.13629166497706863, 0.4494718458977161, -0.09972803435578222, 0.2282840077239849]"
2_hour_11,powerlognorm,"[0.6781940937354853, 0.92533234200349, -0.04924039849269412, 0.4701326477231124]"
2_hour_12,powerlognorm,"[0.681004529839256, 0.9193925415371416, -0.05405472361039236, 0.4709383380056751]"
2_hour_13,lognorm,"[1.0772519326399141, -0.039971493000961866, 0.6019708548627455]"
2_hour_14,powerlognorm,"[0.30992424994526147, 0.6567414416873683, -0.06441653058552121, 0.2657169380503276]"
2_hour_15,powerlognorm,"[0.3446927733250228, 0.6948177051239324, -0.05176539001017263, 0.27017557893549593]"
2_hour_16,lognorm,"[0.9664716877250917, -0.021912754684067014, 0.6308708431414053]"
2_hour_17,powerlognorm,"[0.13728208118756785, 0.460066094962461, 0.042497519853015274, 0.2084200259465941]"
2_hour_18,powerlognorm,"[1.3937075263880094, 1.1093630313385698, 0.12734748195187567, 1.09420740534169]"
2_hour_19,powerlognorm,"[27.282354403770654, 2.3022027694271916, 0.2003112792874686, 73.82660143730203]"
2_hour_20,powerlognorm,"[7.717199552414067, 1.6095287320424305, 0.15230910133689302, 8.17763035321963]"
2_hour_21,powerlognorm,"[1.0921334491035661, 0.9822429011788579, 0.12311466675714923, 0.8986585920978941]"
2_hour_22,powerlognorm,"[0.30275942205767475, 0.548324220289697, -0.06120883748374421, 0.46925064648490017]"
2_hour_23,powerlognorm,"[16.662951732158163, 1.9899763742070917, 0.05714899556266846, 19.58223733604545]"
3_hour_0,beta,"[0.9627128021686744, 69.6997666531426, 0.06399999999999999, 46.75845940493736]"
3_hour_1,powerlognorm,"[5.659137259593528, 1.878678891790774, 0.061004038577550185, 2.822181520212088]"
3_hour_2,powerlognorm,"[1.8187018204569299, 1.400480420024282, 0.055376973859174144, 0.48976957318821285]"
3_hour_3,lognorm,"[1.1973697140034225, 0.06255063357882946, 0.21092110003563108]"
3_hour_4,powerlognorm,"[0.008054652850613986, 0.10719649393897066, -0.011913763263059603, 0.0740317806022989]"
3_hour_5,powerlognorm,"[0.007590779581723351, 0.11320868787088492, 0.00283658905095183, 0.06218957642499771]"
3_hour_6,powerlognorm,"[0.6165914258665031, 0.9136571543650829, 0.04549584755331735, 0.195365517298984]"
3_hour_7,powerlognorm,"[0.04538767093810472, 0.2897829921456697, -0.0006026956885742236, 0.1102363705391527]"
3_hour_8,powerlognorm,"[0.11410774633388687, 0.3815095550949111, -0.08501139131363031, 0.2300535806231805]"
3_hour_9,powerlognorm,"[0.09972154017137184, 0.3990585678999124, -0.07614083800722188, 0.20121267610984916]"
3_hour_10,powerlognorm,"[0.09392934327757756, 0.39387089849223533, -0.07013576995993519, 0.1881095043734065]"
3_hour_11,powerlognorm,"[0.1298136115900116, 0.44058510647521454, -0.09635755136135074, 0.22787912468048852]"
3_hour_12,powerlognorm,"[0.12622211618033793, 0.4115126266118573, -0.10829648577002049, 0.2537644961631854]"
3_hour_13,powerlognorm,"[0.15182176889224544, 0.44399258305957284, -0.10458442776001561, 0.2683134419448613]"
3_hour_14,powerlognorm,"[0.12232117904418753, 0.4083268727191844, -0.09531723997939952, 0.23059845605118762]"
3_hour_15,powerlognorm,"[0.12629944629445655, 0.4133009280029971, -0.08666561580279111, 0.21477670903199803]"
3_hour_16,powerlognorm,"[0.10721783938814644, 0.3760046552015184, -0.0749844276794899, 0.22082561297574932]"
3_hour_17,powerlognorm,"[0.07976355179531269, 0.3601982799678685, -0.003561418870465464, 0.17513870400966222]"
3_hour_18,powerlognorm,"[6.899044384054303, 1.8536970018816628, 0.1519813975941269, 8.076535920048222]"
3_hour_19,lognorm,"[0.9684733503131985, 0.1238185023079209, 0.9423038074442782]"
3_hour_20,powerlognorm,"[0.8246276485388004, 0.7486634166599352, 0.04520340459299646, 0.9453258457683622]"
3_hour_21,powerlognorm,"[0.30607342662263476, 0.49849193237563094, -0.02786313413463134, 0.5575601315528815]"
3_hour_22,powerlognorm,"[0.29562383048090846, 0.4794318723701789, -0.09100359813901653, 0.5455637201326134]"
3_hour_23,powerlognorm,"[1.8427460277953533, 1.048922173309626, 0.01933511085829922, 1.128264235590823]"
4_hour_0,powerlognorm,"[2.4671891939253072, 1.262618726844694, 0.03646270112435117, 0.7266968349180005]"
4_hour_1,powerlognorm,"[0.07537746115272925, 0.3071650031714576, -0.0006022248374471898, 0.09088323732140094]"
4_hour_2,powerlognorm,"[0.1145360366154683, 0.35372697969971767, 0.004800135510047745, 0.09409587964507847]"
4_hour_3,powerlognorm,"[0.11008780238819448, 0.3433194891776979, 0.0079890750215267, 0.0899751392977086]"
4_hour_4,powerlognorm,"[0.10975307234953953, 0.35953891561837115, 0.008957767232063, 0.08503744560177237]"
4_hour_5,lognorm,"[0.8792920878296231, 0.023404363848930215, 0.27334313334763793]"
4_hour_6,powerlognorm,"[0.12719084992507823, 0.3964286608945947, -0.013485475454049718, 0.1430342380272373]"
4_hour_7,powerlognorm,"[0.134117233202558, 0.396730917930907, -0.08134740973283411, 0.21043416500702541]"
4_hour_8,powerlognorm,"[0.10366443427274018, 0.38304639952064234, -0.06616976872808882, 0.18030792447896166]"
4_hour_9,powerlognorm,"[0.12220228284543555, 0.4081144916264829, -0.08450563347803235, 0.2034453072486018]"
4_hour_10,powerlognorm,"[0.11672428966698997, 0.39697416245717587, -0.07408987444720158, 0.18695030593459944]"
4_hour_11,powerlognorm,"[0.1427503854493356, 0.4203047449310372, -0.09636821334301751, 0.22428886113885185]"
4_hour_12,powerlognorm,"[0.18559479975917031, 0.4589358077700467, -0.10553656414628343, 0.24729029096818428]"
4_hour_13,powerlognorm,"[0.15142494741271256, 0.44776180104975594, -0.08118130420072067, 0.19645988711652107]"
4_hour_14,powerlognorm,"[0.1320761277340019, 0.4075920933069957, -0.07732332902997194, 0.18541395841953268]"
4_hour_15,powerlognorm,"[0.13755239347508036, 0.3866752315191367, -0.0832549879103713, 0.2153658316501038]"
4_hour_16,powerlognorm,"[0.15534175918504933, 0.3859160907722778, -0.09614193046104193, 0.24622211041159253]"
4_hour_17,powerlognorm,"[0.12940475782848349, 0.3717739053597521, -0.08286259364258963, 0.24426475160363495]"
4_hour_18,powerlognorm,"[0.7059933968607496, 0.8886968582039444, 0.07004135208149956, 0.4617375159754369]"
4_hour_19,powerlognorm,"[0.12334488238981545, 0.35543899048388083, -0.025375376398097498, 0.3292194408019]"
4_hour_20,powerlognorm,"[0.5406191308719865, 0.5930706149180798, -0.022848675437066288, 0.6486745184627747]"
4_hour_21,powerlognorm,"[0.37811416989526914, 0.5234536867477326, -0.07087224703093614, 0.5358058400740809]"
4_hour_22,powerlognorm,"[1.7940695289460158, 0.9837115907699958, 0.01577230586604631, 0.9689907629599579]"
4_hour_23,powerlognorm,"[16.168541757569354, 1.8776305141720027, 0.042627955340760006, 9.799749055854228]"
5_hour_0,powerlognorm,"[8.606017553938278, 1.5074162545931584, 0.03129216909217257, 2.302533225553338]"
5_hour_1,beta,"[1.620195079945258, 757904214831.7618, 0.037561411956292146, 136277908303.67613]"
5_hour_2,beta,"[1.6906266126194032, 91438432841.91592, 0.03705133761595576, 14215227340.869621]"
5_hour_3,lognorm,"[0.6379224665616277, 0.003420625945974475, 0.2297953312634627]"
5_hour_4,lognorm,"[0.6906468016303466, 0.00995582656458957, 0.22597535572005018]"
5_hour_5,lognorm,"[0.6480556823971726, -0.010997217075232097, 0.2780998578661551]"
5_hour_6,powerlognorm,"[0.19798047262142765, 0.44548767985246773, -0.022279268551896884, 0.1711665528020478]"
5_hour_7,powerlognorm,"[0.13420439645111149, 0.37819585432509006, -0.07264395532572622, 0.21453472186491312]"
5_hour_8,powerlognorm,"[0.1261409842909003, 0.38302863675057286, -0.07415848388049445, 0.19904662359469372]"
5_hour_9,powerlognorm,"[0.14526898520767811, 0.403138978839155, -0.08574216427959783, 0.2095937776088376]"
5_hour_10,powerlognorm,"[0.16464943410295746, 0.41826675533610946, -0.09123953139520238, 0.21028889474425383]"
5_hour_11,powerlognorm,"[0.18183275044930997, 0.42113654433517983, -0.10862662392638955, 0.2520594771815028]"
5_hour_12,powerlognorm,"[0.19239477407884753, 0.4344058688117617, -0.10580133343508563, 0.24770333975227038]"
5_hour_13,powerlognorm,"[0.16372864577305923, 0.40244344075344934, -0.09242099337897795, 0.22201749019722156]"
5_hour_14,powerlognorm,"[0.1851150775023537, 0.4088915631833546, -0.08961441476514764, 0.21564638629196378]"
5_hour_15,powerlognorm,"[0.1922632305176415, 0.39965337258118594, -0.09389115925146978, 0.23379770228744168]"
5_hour_16,powerlognorm,"[0.17060007100085395, 0.3698600744317323, -0.0871534116979592, 0.23878463411857384]"
5_hour_17,powerlognorm,"[0.16032823575071772, 0.37300318657371573, -0.0969436891855899, 0.2578614387770644]"
5_hour_18,powerlognorm,"[0.08223590781118834, 0.2969449486652541, -0.05321931013251999, 0.21612861543515707]"
5_hour_19,lognorm,"[0.9037611225364368, 0.07451206132415086, 0.5905520575679765]"
5_hour_20,powerlognorm,"[0.05658182428177279, 0.21405328324697573, -0.07270849368122198, 0.29810337467327036]"
5_hour_21,powerlognorm,"[3.265318645914955, 1.1253622325464705, 0.0418621306687063, 1.827509357882688]"
5_hour_22,lognorm,"[0.752851001376019, -0.0007516816038000082, 0.5199252037358428]"
5_hour_23,powerlognorm,"[3.835266175136951, 1.2855416944663418, 0.03428432177545351, 1.0884816967320008]"
6_hour_0,powerlognorm,"[46.869591336302875, 2.0585953493008873, 0.035146410851901816, 22.376748651594887]"
6_hour_1,powerlognorm,"[0.008721777206488927, 0.06332169206849743, -0.14298459684044446, 0.18330683000450076]"
6_hour_2,powerlognorm,"[2.6679943878867967, 0.9339911001812929, 0.0076919045699231255, 0.4684525340175043]"
6_hour_3,powerlognorm,"[0.007935890513507661, 0.04816785110514468, -0.1871002935513048, 0.22429127537120083]"
6_hour_4,lognorm,"[0.6422170871243588, -0.010345715891558048, 0.23983954725033782]"
6_hour_5,lognorm,"[0.668099432357215, -0.013049913868700653, 0.25939303752804577]"
6_hour_6,powerlognorm,"[0.2172638897155666, 0.46056101148786266, -0.03559901054300339, 0.17032559781717307]"
6_hour_7,powerlognorm,"[0.14970708516659773, 0.37713608322941283, -0.08893068001265632, 0.2324699759275069]"
6_hour_8,powerlognorm,"[0.1647559970984256, 0.39034538237466326, -0.09407329802752609, 0.23815972631045357]"
6_hour_9,powerlognorm,"[0.1585687271860573, 0.37297711570818537, -0.09618574473569534, 0.24198883031210244]"
6_hour_10,powerlognorm,"[0.158518151512108, 0.40554044056819166, -0.08918032690418584, 0.2161352715122929]"
6_hour_11,lognorm,"[0.8286411767399113, -0.066100848575522, 0.5544314946880201]"
6_hour_12,lognorm,"[0.8082374940263597, -0.07045999666307322, 0.5453628950045981]"
6_hour_13,powerlognorm,"[0.23323934585412404, 0.4381535686311862, -0.1069986064806103, 0.26470309477657494]"
6_hour_14,powerlognorm,"[0.2225862488192634, 0.4313354878259319, -0.10097388942177649, 0.2433406460002937]"
6_hour_15,powerlognorm,"[0.21771931711267198, 0.40209479369700885, -0.10084188056345339, 0.25381930992103335]"
6_hour_16,powerlognorm,"[0.18234020699659817, 0.3867223438495032, -0.09818693717453715, 0.24714766612479483]"
6_hour_17,lognorm,"[0.8077447203252112, -0.039699941016809834, 0.5264379640233297]"
6_hour_18,powerlognorm,"[0.23854648830175565, 0.47887956404745047, -0.049436315323293276, 0.27937455024088775]"
6_hour_19,lognorm,"[0.8538529571648221, 0.02641549906184402, 0.566079590977991]"
6_hour_20,lognorm,"[0.8437734810727258, 0.05928565115817857, 0.5455843743861207]"
6_hour_21,lognorm,"[0.7353069052926147, -0.011518106875606539, 0.6967660470396455]"
6_hour_22,powerlognorm,"[1.9958407704248988, 0.868624779271941, -0.002071895760572253, 0.8729148532330174]"
6_hour_23,powerlognorm,"[3.3278958919656905, 1.2399725987720496, 0.029242256266725435, 0.9443821134781678]"
7_hour_0,lognorm,"[0.8737338393566605, 0.021134981123923938, 0.26252531401217033]"
7_hour_1,powerlognorm,"[1.3299433590645515, 0.8753795532278774, 0.016694513392471112, 0.29875685013304526]"
7_hour_2,powerlognorm,"[0.5154830634268559, 0.5378369239640914, -0.01296497378509814, 0.18744269876835362]"
7_hour_3,powerlognorm,"[0.4721802389482189, 0.4792936095270017, -0.02765220100834085, 0.19502825267958823]"
7_hour_4,powerlognorm,"[0.3358007907932368, 0.4383923414189002, -0.030341317429507603, 0.17089884649913817]"
7_hour_5,powerlognorm,"[0.3032999099247431, 0.4437916986390794, -0.029730154228689486, 0.17440946432607798]"
7_hour_6,powerlognorm,"[0.17301905771064685, 0.42809159501785954, -0.021784881898025035, 0.14817983624303524]"
7_hour_7,powerlognorm,"[0.19536851994364868, 0.3939008260319482, -0.0926316447932129, 0.2416624677666108]"
7_hour_8,powerlognorm,"[0.2628308202511579, 0.4037582515380981, -0.1097345327291511, 0.27398754452879637]"
7_hour_9,lognorm,"[0.7513707313216105, -0.05663860778537654, 0.4454221193092299]"
7_hour_10,powerlognorm,"[0.22918176806552154, 0.38411828159343114, -0.11132292431117796, 0.2781134367857412]"
7_hour_11,powerlognorm,"[0.24719453734162466, 0.4364184858840231, -0.11045613753136507, 0.26131581286088446]"
7_hour_12,powerlognorm,"[0.30738406156771714, 0.44699861525517315, -0.12201761569580871, 0.29911787053568484]"
7_hour_13,powerlognorm,"[0.40412940636267636, 0.5038536029046756, -0.117975982239022, 0.321330567771954]"
7_hour_14,powerlognorm,"[0.2982261783688531, 0.4564985025065977, -0.11003384865241966, 0.2723191719899135]"
7_hour_15,powerlognorm,"[0.29974795661498144, 0.4156392803038489, -0.12502573248050441, 0.2964671697333794]"
7_hour_16,powerlognorm,"[0.29298118493542147, 0.42096250217791326, -0.11843103693137143, 0.28706899741486347]"
7_hour_17,powerlognorm,"[0.25085334351452193, 0.4301896151204334, -0.12283102550739212, 0.2938813198907411]"
7_hour_18,powerlognorm,"[0.13887688108960042, 0.3577492093145753, -0.07235470926626553, 0.23630380140539214]"
7_hour_19,powerlognorm,"[0.052092870187347345, 0.2232450018672909, -0.059297113333630955, 0.20671260067774566]"
7_hour_20,powerlognorm,"[0.076336329630486, 0.264903330096827, 0.016876579072368194, 0.20175605736778127]"
7_hour_21,powerlognorm,"[6.226515893268613, 1.467083652227691, 0.1327666883066629, 3.0935645866540975]"
7_hour_22,lognorm,"[0.8063773735724699, 0.03627627717558346, 0.47713039182353734]"
7_hour_23,powerlognorm,"[1.7639521598698833, 1.0360328102899201, 0.02518633800032722, 0.5082932755577034]"
8_hour_0,powerlognorm,"[2.573772413085386, 1.2646592507424457, 0.026249243333879103, 0.6388903443688385]"
8_hour_1,powerlognorm,"[0.5913245283392387, 0.7181486360680647, 0.014209663433795018, 0.1700628815137497]"
8_hour_2,powerlognorm,"[0.20344028362959865, 0.41920320770189895, -0.01016200781282155, 0.11766481490311052]"
8_hour_3,powerlognorm,"[0.2828071692236528, 0.49071969335655774, 0.0022199632150748383, 0.11769689272237707]"
8_hour_4,beta,"[1.5064271858945761, 46368554966449.25, 0.033784146915018964, 8325544979252.17]"
8_hour_5,powerlognorm,"[0.21999022239815355, 0.4452590151538923, -0.009749608398736844, 0.12364875900841887]"
8_hour_6,powerlognorm,"[0.1872795618166623, 0.4835363584431037, -0.002199902188640045, 0.12620047379791136]"
8_hour_7,powerlognorm,"[0.1630551365992005, 0.4056187863977156, -0.07858875921265064, 0.21659169780222093]"
8_hour_8,powerlognorm,"[0.18997555855004986, 0.3930273781623548, -0.09135193414230289, 0.2384040411979569]"
8_hour_9,powerlognorm,"[0.25241377267646103, 0.43391654196303464, -0.09686353545869847, 0.278018361232107]"
8_hour_10,powerlognorm,"[0.2714683020356432, 0.42140726064138806, -0.1303814493150578, 0.3225951419407421]"
8_hour_11,powerlognorm,"[0.27501854754047933, 0.4417957038383487, -0.12126131623621508, 0.30489250562609693]"
8_hour_12,lognorm,"[0.7831116995817609, -0.06651438463138679, 0.494613398541194]"
8_hour_13,powerlognorm,"[0.3448102351396466, 0.49348775011669055, -0.1054265007184681, 0.3022666300251764]"
8_hour_14,powerlognorm,"[0.2732485254467074, 0.47073572703947864, -0.09391743458177111, 0.2431039989281078]"
8_hour_15,powerlognorm,"[0.1994617243350984, 0.39606384846293674, -0.09221824952094351, 0.2310397882735672]"
8_hour_16,powerlognorm,"[0.19631629927703023, 0.3979306847842715, -0.09746842923079066, 0.24512777097398747]"
8_hour_17,powerlognorm,"[0.12605066303108237, 0.3494949826599764, -0.09033452901654244, 0.23599479521463224]"
8_hour_18,lognorm,"[0.901445824954976, 0.043369123861088855, 0.5130044019152797]"
8_hour_19,lognorm,"[0.7745071250251343, 0.004769663767604498, 0.6288211353992044]"
8_hour_20,powerlognorm,"[2.528789621937723, 1.083764739866289, 0.10305473594834066, 1.2113560927092841]"
8_hour_21,powerlognorm,"[2.920384883643197, 1.128781636751942, 0.09009868069420102, 1.4105842069547916]"
8_hour_22,powerlognorm,"[1.334028141867055, 0.8873882175328582, 0.025239793910253418, 0.5769817357329868]"
8_hour_23,lognorm,"[0.927396582339964, 0.021114767780394686, 0.3069919681292777]"
9_hour_0,powerlognorm,"[2.007457698947979, 1.0618040085378806, 0.0248082568121173, 0.4376984420443907]"
9_hour_1,powerlognorm,"[2.052377228343165, 0.9464118242704096, 0.015952035272597885, 0.39546002633800004]"
9_hour_2,lognorm,"[0.6751859059856758, 0.007102418561231996, 0.2229550042658111]"
9_hour_3,powerlognorm,"[2.7147115421823633, 0.9081231364560323, 0.020156427201475764, 0.39335655076564935]"
9_hour_4,lognorm,"[0.6832494541426753, 0.007194550878406323, 0.2140691287299108]"
9_hour_5,powerlognorm,"[0.012350175259744673, 0.07074526057413796, -0.16421033828391807, 0.20794861839753093]"
9_hour_6,lognorm,"[0.926187700423933, 0.016870954294165873, 0.3413815279157868]"
9_hour_7,powerlognorm,"[0.10420466087085369, 0.3595399146065531, -0.036869121045547085, 0.16997882709647838]"
9_hour_8,powerlognorm,"[0.11940342485410879, 0.37375696654389534, -0.058547600316902634, 0.19755163812072943]"
9_hour_9,powerlognorm,"[0.15799996305975358, 0.4061381485778609, -0.09461956200181383, 0.23121437826430818]"
9_hour_10,powerlognorm,"[0.16992126919327497, 0.4051810149617754, -0.10069685766538292, 0.24565779086913747]"
9_hour_11,powerlognorm,"[0.2806140383714062, 0.4943361457882588, -0.10655694187027748, 0.2919809858303559]"
9_hour_12,powerlognorm,"[0.2076813181662125, 0.4182314775663645, -0.11658255082375696, 0.2742426032422183]"
9_hour_13,powerlognorm,"[0.16830050942156427, 0.3902099124289297, -0.0932423757361329, 0.22565783127217326]"
9_hour_14,powerlognorm,"[0.16369671808874614, 0.4002464042834659, -0.07720789981497553, 0.19735644049774606]"
9_hour_15,powerlognorm,"[0.18931117885543364, 0.4014493617595405, -0.08700260427564845, 0.22572781841599693]"
9_hour_16,powerlognorm,"[0.1751850135519024, 0.3922795446087277, -0.0940216711246818, 0.24289590414851264]"
9_hour_17,powerlognorm,"[0.11097878703473651, 0.3593165627349203, -0.06716789372279608, 0.2212211935419532]"
9_hour_18,powerlognorm,"[66.29856154079116, 2.1902469886817197, 0.06532943560558235, 116.13665396259947]"
9_hour_19,gamma,"[1.588802894179399, 0.09212144072693382, 0.6491194370703587]"
9_hour_20,lognorm,"[0.6110355302308246, -0.10942782347435426, 0.9477708660069311]"
9_hour_21,powerlognorm,"[0.011175667002394328, 0.06125628472185285, -0.5951825327643298, 0.7004501476933125]"
9_hour_22,powerlognorm,"[117.96606766666673, 2.402560836605195, 0.07631086480858701, 193.12013745957586]"
9_hour_23,powerlognorm,"[7.207413152455387, 1.5825824530535972, 0.03440204781988236, 2.477285291820258]"
10_hour_0,gamma,"[1.2784874073460069, 0.04040688402687257, 0.26029314545481586]"
10_hour_1,beta,"[1.4847327159186676, 778490289.0636791, 0.037769490313598005, 143529972.83933923]"
10_hour_2,powerlognorm,"[3.8189286973330447, 1.1138431497381434, 0.025421017850142023, 0.6044919923431551]"
10_hour_3,beta,"[1.7001927887056225, 2983531178.91148, 0.03683114693079684, 425755035.97714657]"
10_hour_4,beta,"[1.5861742326532102, 943669635.5195374, 0.03578971905065293, 149746427.78125256]"
10_hour_5,lognorm,"[0.7198053752954611, 0.006814906433281918, 0.24382562902921967]"
10_hour_6,powerlognorm,"[0.19915929960467801, 0.4770847655540599, -0.008379654868849456, 0.15496084685917086]"
10_hour_7,powerlognorm,"[0.1115707397252908, 0.38344655376610887, -0.025509680364925028, 0.1764064164631363]"
10_hour_8,powerlognorm,"[0.12611480637303107, 0.37250519673043614, -0.07843089636956153, 0.2319265581514085]"
10_hour_9,lognorm,"[0.8910189644365933, -0.03870466003371691, 0.5659573142430008]"
10_hour_10,powerlognorm,"[0.17318559455280663, 0.437878367586353, -0.10237482378649611, 0.25395422865769857]"
10_hour_11,powerlognorm,"[0.2589153644526597, 0.4950968439372758, -0.11298488965907215, 0.31015573103590977]"
10_hour_12,powerlognorm,"[0.42450707226018175, 0.6291032004386078, -0.07238600763779819, 0.33443768834811727]"
10_hour_13,powerlognorm,"[0.15070032714232853, 0.40119920938326137, -0.08632664124613668, 0.2174815447363262]"
10_hour_14,powerlognorm,"[0.14367253280893, 0.4043321017709168, -0.07718136995287445, 0.1961823878687992]"
10_hour_15,powerlognorm,"[0.13700974071736724, 0.39776089074237064, -0.07376642671232787, 0.19764875145275984]"
10_hour_16,powerlognorm,"[0.1333139617081957, 0.3916632140707724, -0.04800681734507545, 0.21784748777685808]"
10_hour_17,powerlognorm,"[0.0463098124797655, 0.22358443756735913, -0.12479664211276556, 0.2784468717614246]"
10_hour_18,powerlognorm,"[5.899144920603174, 1.2377679564730188, -0.008982195585687636, 4.272187399457099]"
10_hour_19,beta,"[1.384679652894214, 71.71240753029417, 0.15323597746903855, 52.33815611036215]"
10_hour_20,lognorm,"[0.703832054803134, -0.023024108536626918, 0.8495534307618899]"
10_hour_21,lognorm,"[0.7044340882934714, -0.04602620881640748, 0.8032913045346208]"
10_hour_22,beta,"[1.5566611130176486, 23038682579.16046, 0.04328514665943667, 10054427355.709599]"
10_hour_23,powerlognorm,"[14.132224958886336, 1.7054707224103518, 0.03251599383705517, 5.567261542589051]"
11_hour_0,powerlognorm,"[17.13282633651537, 1.8734133633090264, 0.05326146801144546, 9.283319290329487]"
11_hour_1,powerlognorm,"[2.1153284115851654, 1.2044783033714217, 0.03524046234745121, 0.5432396931776187]"
11_hour_2,powerlognorm,"[0.08445413378245485, 0.32836395779687405, 0.01667450167892594, 0.07804843338913145]"
11_hour_3,powerlognorm,"[0.07204944331329613, 0.2916693294067213, 0.006468214986253065, 0.07922841503176845]"
11_hour_4,lognorm,"[0.9412718509410996, 0.04433761229915327, 0.20062717089651674]"
11_hour_5,lognorm,"[0.8557105801405259, 0.03064820910834507, 0.22637078573590802]"
11_hour_6,lognorm,"[0.9142400154971386, 0.036122597922481896, 0.2474802300929364]"
11_hour_7,powerlognorm,"[0.11470643466008859, 0.45003418242674464, 0.032538840672536616, 0.10334510013377281]"
11_hour_8,powerlognorm,"[0.09725959412263047, 0.3786785582060318, -0.0026768879920212266, 0.16397755701281977]"
