confid,dist_name,params
1_hour_0,lognorm,"[0.8485007744909834, -0.01826769952880184, 0.30846951638795483]"
1_hour_1,powerlognorm,"[0.2730035018741568, 0.41063616093240196, -0.061520431340010145, 0.16315223562745468]"
1_hour_2,powerlognorm,"[0.26116327268925393, 0.38447556798913207, -0.05046615368758718, 0.15083552926236815]"
1_hour_3,powerlognorm,"[0.3386612960707146, 0.4084375488801466, -0.06482606450337414, 0.17586139343660917]"
1_hour_4,powerlognorm,"[0.2597573727868381, 0.4065085380182767, -0.04869265213617578, 0.14560989008283498]"
1_hour_5,powerlognorm,"[0.29895058661115936, 0.38302540538653107, -0.06471961228356893, 0.17606492836940085]"
1_hour_6,powerlognorm,"[0.2549011391747643, 0.39536538048831527, -0.06663380606055369, 0.1772060164796483]"
1_hour_7,powerlognorm,"[0.12161706637356326, 0.35241412602140765, -0.040375149539477594, 0.14868245897157573]"
1_hour_8,powerlognorm,"[0.20675326647563005, 0.4531275806153321, -0.02417962435825068, 0.1884699477989898]"
1_hour_9,powerlognorm,"[14.628238124215844, 1.806756440698953, 0.016571546746825844, 9.337132170768205]"
1_hour_10,lognorm,"[0.8746443358671364, -0.02721174675076233, 0.4533810951190845]"
1_hour_11,lognorm,"[0.9162421641726675, -0.011753909742544748, 0.4568013292854688]"
1_hour_12,powerlognorm,"[0.26433039143795184, 0.5643147158008659, -0.03878589296037155, 0.195399945051246]"
1_hour_13,lognorm,"[0.9296885298265899, -0.008343473748416744, 0.4210039033129708]"
1_hour_14,lognorm,"[1.0268912957478484, 0.014446872037852334, 0.37372438461549606]"
1_hour_15,lognorm,"[0.9158084328139637, -0.012258776086289024, 0.41274097423424977]"
1_hour_16,powerlognorm,"[0.24099993128721514, 0.5393775119917081, -0.04064981532074774, 0.20568030415734617]"
1_hour_17,lognorm,"[0.9435638546963792, 0.0007197001857373849, 0.6039006389736656]"
1_hour_18,lognorm,"[0.9312421538705657, -0.012023481805655017, 0.7394263728393948]"
1_hour_19,lognorm,"[0.9357383150404401, 0.009067612952121221, 0.7250659573232971]"
1_hour_20,lognorm,"[0.9055387150832249, 0.02888292754074394, 0.6263030567999495]"
1_hour_21,lognorm,"[0.7987504433932526, -0.01698024320521376, 0.6582967981946145]"
1_hour_22,lognorm,"[0.7150409884505168, -0.04555173013873251, 0.6234663776768412]"
1_hour_23,lognorm,"[0.8298844938246865, 0.022706999063298573, 0.38321501563725524]"
2_hour_0,lognorm,"[0.8146812433066375, -0.028246126375982297, 0.2851394070894945]"
2_hour_1,powerlognorm,"[0.25644903931138024, 0.4080002553033117, -0.05378131854651922, 0.14268058865724548]"
2_hour_2,powerlognorm,"[0.24786212687002968, 0.40319289405122877, -0.04548986524373193, 0.12836135270310295]"
2_hour_3,powerlognorm,"[0.269501937730695, 0.4212837483893762, -0.046681089656478034, 0.13328350547582202]"
2_hour_4,powerlognorm,"[0.23106228487935623, 0.4139465899386423, -0.042750854985848435, 0.12364293882146161]"
2_hour_5,powerlognorm,"[0.25844365509949463, 0.41296988455013606, -0.054471417721753276, 0.14556187859203834]"
2_hour_6,powerlognorm,"[0.21688999739330497, 0.42026594712856635, -0.05085181250515389, 0.14312880828700697]"
2_hour_7,powerlognorm,"[0.0635018930494527, 0.3242869901730645, 0.028669477341100237, 0.07347042961649505]"
2_hour_8,lognorm,"[0.9196179452102804, 0.016114737828560648, 0.37058413552854114]"
2_hour_9,lognorm,"[0.8491326960144273, -0.043415438996406236, 0.47517519089266697]"
2_hour_10,powerlognorm,"[0.8625918273773887, 0.8893885097647769, -0.0027210395842180027, 0.34236129466435006]"
2_hour_11,lognorm,"[0.9231272569138601, -0.016946491624330866, 0.42036671694783995]"
2_hour_12,powerlognorm,"[0.13048179042823962, 0.4187702853265668, -0.03571419662906765, 0.13882845196203356]"
2_hour_13,lognorm,"[1.0349997960259567, 0.016062511820743704, 0.3551171253079787]"
2_hour_14,powerlognorm,"[77.98892034617262, 2.918170198811829, 0.041454076808592394, 310.66941740257744]"
2_hour_15,powerlognorm,"[5.429974223129085, 1.654911047399119, 0.019600016619718056, 2.31097196333025]"
2_hour_16,lognorm,"[0.9981983384840095, 0.010897124357902552, 0.3543872326519042]"
2_hour_17,powerlognorm,"[0.03328076270250185, 0.20859042123535107, -0.09133886560545292, 0.15771207033291812]"
2_hour_18,lognorm,"[1.0080411171459929, 0.0198047330587723, 0.586597816617435]"
2_hour_19,lognorm,"[0.9982374155627523, 0.00990089602794763, 0.6438241057085446]"
2_hour_20,lognorm,"[0.9184631239050276, 0.012790246897392383, 0.582355314264303]"
2_hour_21,lognorm,"[0.8121892253817025, -0.007772826202461301, 0.5811572401105061]"
2_hour_22,lognorm,"[0.824709779317728, 0.0057780724834088845, 0.49769670026583324]"
2_hour_23,lognorm,"[0.8843924051615295, 0.014965172409410301, 0.3414301066514883]"
3_hour_0,lognorm,"[0.8561278591768151, -0.022053264814592556, 0.31150995665483083]"
3_hour_1,lognorm,"[0.7901684609121966, -0.023330376289669674, 0.25069342803885863]"
3_hour_2,powerlognorm,"[0.2491011315968933, 0.42503463568367317, -0.05105707097891374, 0.13470751681720416]"
3_hour_3,powerlognorm,"[0.27714249495966764, 0.4428259344069679, -0.05618540402912634, 0.1477056338026521]"
3_hour_4,powerlognorm,"[0.23779880166558848, 0.4363529390241693, -0.04810092083989998, 0.12988109314463203]"
3_hour_5,powerlognorm,"[0.2347681055528495, 0.4377713995010257, -0.04828777694905524, 0.13564434250161156]"
3_hour_6,powerlognorm,"[0.17260451669799978, 0.40279910588207013, -0.04802723288371094, 0.1321082336587916]"
3_hour_7,powerlognorm,"[0.08377912526260445, 0.3366762679108394, -0.0011622392592059564, 0.10382603406767962]"
3_hour_8,lognorm,"[0.9482846027314298, 0.006725929591232017, 0.41128571047971035]"
3_hour_9,lognorm,"[0.8268429076389405, -0.04980850534263874, 0.511720855445696]"
3_hour_10,lognorm,"[0.9961233700635151, 0.005638048500337178, 0.4284080003695213]"
3_hour_11,lognorm,"[0.9426934204170896, -0.021907969883490697, 0.47136973940680493]"
3_hour_12,lognorm,"[1.0623510978793163, 0.008748458234859964, 0.3893935397663272]"
3_hour_13,powerlognorm,"[3.276787074505901, 1.4338871314300805, 0.005898261516236141, 1.436799613537525]"
3_hour_14,powerlognorm,"[2.1801644312500654, 1.2669888546968862, -0.0036581518225379814, 0.8535035935966889]"
3_hour_15,powerlognorm,"[2.955922426846188, 1.325923654764495, -0.0033085994867020374, 1.1532462004169561]"
3_hour_16,powerlognorm,"[2.40093316581072, 1.2571914606220274, -0.004107990306252453, 0.9686478729340866]"
3_hour_17,lognorm,"[0.9703373968448059, 0.0013966581822980285, 0.48644847635084226]"
3_hour_18,lognorm,"[0.9473422422304096, -0.004407115903095166, 0.6469162229628405]"
3_hour_19,lognorm,"[0.936249870720703, -0.007943040364744192, 0.7161066191746526]"
3_hour_20,lognorm,"[0.9186578815405404, 0.02223696962090361, 0.6188017114501356]"
3_hour_21,lognorm,"[0.7987086401952423, -0.010170469072388496, 0.628591970349639]"
3_hour_22,lognorm,"[0.7890470114608626, -0.018734376002025366, 0.5899256496266791]"
3_hour_23,lognorm,"[0.8611130773610609, -0.00669825598728678, 0.41287008755000987]"
4_hour_0,powerlognorm,"[0.23679325608056132, 0.38408492281802264, -0.058691272517161774, 0.14837432663311234]"
4_hour_1,powerlognorm,"[0.29929812483510426, 0.3996338415021644, -0.05712444307089408, 0.14692858226883346]"
4_hour_2,powerlognorm,"[0.23554733404816838, 0.3721133777143958, -0.04737102968824757, 0.13058353947801243]"
4_hour_3,lognorm,"[0.6843989539712814, -0.03071125706936726, 0.2300362313373715]"
4_hour_4,powerlognorm,"[0.26982168931453204, 0.4164842024600683, -0.05143782835446153, 0.1419908687705906]"
4_hour_5,powerlognorm,"[0.2405088541477497, 0.41358465152260177, -0.05792597564225102, 0.1496973894905364]"
4_hour_6,powerlognorm,"[0.07107160374920035, 0.2930249088589741, 0.013367743507484207, 0.08790130417798084]"
4_hour_7,lognorm,"[0.8286527348537357, 0.0018809515893272542, 0.35202323277761366]"
4_hour_8,lognorm,"[0.83333433095673, -0.03541360865983797, 0.40986552351206545]"
4_hour_9,lognorm,"[0.9559832881339936, -0.008179316766179022, 0.3734642418130342]"
4_hour_10,lognorm,"[0.9210080846714932, -0.014844443808413765, 0.38156672176831397]"
4_hour_11,powerlognorm,"[1.5441466446317884, 1.1336498286023244, 0.0043793042636929526, 0.4968520067177127]"
4_hour_12,powerlognorm,"[2.1165060257640538, 1.2751863906778786, 0.018809106550423546, 0.6967760210548314]"
4_hour_13,powerlognorm,"[8.409512251847945, 1.8145216351489046, 0.027527894145757494, 3.906909835319164]"
4_hour_14,powerlognorm,"[1.134068961093989, 0.9619958682131234, 0.002632472067954577, 0.3465181060648495]"
4_hour_15,powerlognorm,"[11.265534486493419, 1.9120503652243173, 0.03428934478444434, 5.772304289411533]"
4_hour_16,lognorm,"[0.9783519325828458, 0.01277565792062715, 0.3527954871234229]"
4_hour_17,lognorm,"[0.9248893890033929, -0.008241499803134003, 0.43798784817546055]"
4_hour_18,lognorm,"[0.932512424707708, 0.00026354373970900513, 0.47451051080485074]"
4_hour_19,lognorm,"[0.8588598922004247, -0.013751618214977257, 0.5329967408784142]"
4_hour_20,lognorm,"[0.8567545261272834, 0.008875595859589186, 0.535390973524392]"
4_hour_21,lognorm,"[0.7230650172642666, -0.03761804765244936, 0.552527630012364]"
4_hour_22,lognorm,"[0.8607544518970782, 0.019964198809134318, 0.35414852452290146]"
4_hour_23,lognorm,"[0.8365593620364498, -0.021839549359072785, 0.28010385401832116]"
5_hour_0,powerlognorm,"[0.33978004838165077, 0.39874498520103263, -0.06588950087663417, 0.1683770995862781]"
5_hour_1,powerlognorm,"[0.3591371196495774, 0.34892856758132684, -0.07660092907766358, 0.178411215564157]"
5_hour_2,powerlognorm,"[0.33362310409981744, 0.3510537437027611, -0.06151224391958511, 0.15982936390601055]"
5_hour_3,powerlognorm,"[0.38062713405458737, 0.38277792849869885, -0.07061776742821332, 0.17418713217338144]"
5_hour_4,powerlognorm,"[0.2699537559813617, 0.3469741680206272, -0.06467680017747515, 0.15489687893140114]"
5_hour_5,powerlognorm,"[0.8940986436264631, 0.654280767723793, -0.03894505926961349, 0.2444430372746864]"
5_hour_6,powerlognorm,"[0.10101668384237747, 0.2904898507819112, -0.04322887362930532, 0.12924164447811287]"
5_hour_7,lognorm,"[0.9663832340912712, 0.02643022584442519, 0.3010890289663096]"
5_hour_8,powerlognorm,"[30.48677663589742, 1.9139153981585575, -0.007417688460472689, 16.431583996276252]"
5_hour_9,lognorm,"[0.9363172779566947, -0.002602058775326118, 0.33804260220288435]"
5_hour_10,lognorm,"[0.9121813614746188, -0.00935468685774956, 0.36234658982931]"
5_hour_11,lognorm,"[0.868163426031971, -0.019160119977675843, 0.35216988464149124]"
