confid,dist_name,params
1_hour_0,powerlognorm,"[0.013517566605479243, 0.10716680812576565, -0.04019047440180409, 0.09994104395223513]"
1_hour_1,powerlognorm,"[19.769507659486294, 1.6921913452209423, 0.040146238314505, 3.4329459371284545]"
1_hour_2,lognorm,"[0.6196092170731233, 0.0004664358931677373, 0.17690881716678114]"
1_hour_3,lognorm,"[0.5795758317889985, -0.005217825733559505, 0.1751402361142287]"
1_hour_4,lognorm,"[0.6148077937307099, 0.004097794746336618, 0.15879913805283244]"
1_hour_5,lognorm,"[0.5897185178009114, -0.004115320546755582, 0.1683134642600666]"
1_hour_6,powerlognorm,"[0.1364929994318256, 0.4047404467771838, -0.004766007069146731, 0.07926872741806679]"
1_hour_7,powerlognorm,"[0.1361823071442831, 0.40461656465756046, -0.004101661164828888, 0.12185664033057611]"
1_hour_8,powerlognorm,"[6.697499294054939, 1.4157976271236612, 0.06808497224578955, 2.1191215611011387]"
1_hour_9,lognorm,"[0.9884491897253175, 0.0702399731198727, 0.294572960026974]"
1_hour_10,powerlognorm,"[0.11825732709490329, 0.3787456653179402, -0.0063356841276053025, 0.13234653348844158]"
1_hour_11,powerlognorm,"[0.14270718643864516, 0.40656242763971545, -0.0027338843053644844, 0.13205755297153132]"
1_hour_12,powerlognorm,"[0.269161816937455, 0.5358390763548087, 0.0003582909236960688, 0.17839590950210665]"
1_hour_13,lognorm,"[0.946949962025438, 0.02465774122508585, 0.34976009824295484]"
1_hour_14,powerlognorm,"[0.14113745732434002, 0.4007137288460531, -0.0012743762966119089, 0.13794709514799303]"
1_hour_15,powerlognorm,"[0.12971200910483088, 0.38579978141542015, -0.004522449068325442, 0.14654318708319874]"
1_hour_16,powerlognorm,"[0.15637029603154723, 0.3789579131846365, -0.03568130450146896, 0.2185821790441661]"
1_hour_17,powerlognorm,"[0.18546551366318775, 0.3424239309039675, -0.0851785882152758, 0.35576868591935573]"
1_hour_18,lognorm,"[0.732262672234335, -0.00048134096510313686, 0.6433856165350161]"
1_hour_19,powerlognorm,"[0.16451657493399977, 0.2990669005303255, -0.11745489271625265, 0.38343920258695513]"
1_hour_20,powerlognorm,"[0.11880934831709292, 0.24757851374407502, -0.1438003253222107, 0.38197993372308825]"
1_hour_21,powerlognorm,"[0.11093985641793816, 0.2267462813764357, -0.15546950393965298, 0.3711701189735702]"
1_hour_22,powerlognorm,"[0.1773100344718204, 0.27629027961601377, -0.08801998773532564, 0.3280809828412627]"
1_hour_23,lognorm,"[0.7512851857118745, 0.018226383566861716, 0.34380840736079676]"
2_hour_0,powerlognorm,"[3.623797047884037, 1.2240965802596324, 0.040185251637969335, 0.6248714443176018]"
2_hour_1,powerlognorm,"[2.665880986115315, 1.07549653658455, 0.03790897012041358, 0.32740419495294815]"
2_hour_2,gamma,"[1.7413480754243393, 0.043239748558067254, 0.09171156517517312]"
2_hour_3,powerlognorm,"[0.13462528832160725, 0.24210742387395034, -0.006768625930308915, 0.09034942362331175]"
2_hour_4,powerlognorm,"[1.7434278594149701, 0.8413463755755298, 0.03354482409256686, 0.1799609723448543]"
2_hour_5,powerlognorm,"[1.2974880944362917, 0.7971422946262434, 0.03202503659017329, 0.1494591935300542]"
2_hour_6,powerlognorm,"[0.10901675822541715, 0.40470055048254616, 0.025311175358226135, 0.05689793168023514]"
2_hour_7,powerlognorm,"[0.13105640712223093, 0.4897072807377397, 0.07927031306171642, 0.06896670502283507]"
2_hour_8,powerlognorm,"[16.943923210620472, 1.7189788058597812, 0.11213284951934582, 6.008017266267805]"
2_hour_9,powerlognorm,"[1.389381840110547, 1.0657005248925708, 0.08681209458276339, 0.3887941748789593]"
2_hour_10,powerlognorm,"[0.053248130792941085, 0.2627044808038873, 0.011983589750400897, 0.10035186840378449]"
2_hour_11,powerlognorm,"[0.13891717619568686, 0.3923396448521005, 0.0007242446707454396, 0.13416094094343584]"
2_hour_12,powerlognorm,"[0.12241279947448837, 0.37171580449381725, -0.0009167441893545764, 0.13466287161040824]"
2_hour_13,lognorm,"[0.9304441465580013, 0.03616197698905737, 0.32627590537001994]"
2_hour_14,powerlognorm,"[0.1597619971926878, 0.37495045929735377, -0.012497178558293572, 0.15489614960450598]"
2_hour_15,powerlognorm,"[0.12047037937723601, 0.33483492823660355, -0.0014588931537481342, 0.13831146602449718]"
2_hour_16,lognorm,"[0.8874891659268678, 0.049143785501283635, 0.35529117921752146]"
2_hour_17,lognorm,"[0.8069718046972446, 0.06541049577834526, 0.4546783153262996]"
2_hour_18,powerlognorm,"[0.10315142808738301, 0.27869666197106424, -0.06688098930613814, 0.2933681944758475]"
2_hour_19,powerlognorm,"[0.09953804672680128, 0.2640407080402727, -0.0623812945402024, 0.29507883647880706]"
2_hour_20,powerlognorm,"[0.10472232632376122, 0.23619405897090978, -0.12044498675789525, 0.35816405088516223]"
2_hour_21,powerlognorm,"[0.0332141146001106, 0.10957357295765781, -0.26000409070437136, 0.42830580150717645]"
2_hour_22,powerlognorm,"[0.11270319242325924, 0.29112516909680225, 0.026076451193726917, 0.19187924639615841]"
2_hour_23,lognorm,"[0.7887883946551337, 0.04270979930748379, 0.3057010849690368]"
3_hour_0,powerlognorm,"[0.14141070489058263, 0.36134488095681333, 0.012268186731962654, 0.08606929431380732]"
3_hour_1,powerlognorm,"[0.011644476559074007, 0.07016223417713033, -0.0715954367717695, 0.1199382509745075]"
3_hour_2,powerlognorm,"[3.8055319821269595, 1.059407172774139, 0.033334191131967034, 0.35444362727335177]"
3_hour_3,lognorm,"[0.6196834647873509, 0.021885627204629055, 0.13382869264850938]"
3_hour_4,beta,"[6.24949158427244, 674569127567569.5, -0.031232758633294486, 22773575668021.734]"
3_hour_5,powerlognorm,"[1.6859217955314119, 0.8583944146088036, 0.03372371752616771, 0.1685952267142024]"
3_hour_6,powerlognorm,"[0.15212122826783736, 0.4367638518330923, 0.02098075620339368, 0.06698897804685205]"
3_hour_7,powerlognorm,"[0.07162383811908538, 0.29533435251327045, 0.01709054425918638, 0.09828523790912039]"
3_hour_8,powerlognorm,"[0.14275350649889942, 0.2997802561786017, -0.03454218362024808, 0.1998531821795977]"
3_hour_9,powerlognorm,"[0.09281410643762752, 0.3135994959407455, -0.011789627815086004, 0.13420267819937115]"
3_hour_10,powerlognorm,"[0.10394690287556027, 0.3396622623951344, 0.0022718693569200067, 0.1162436819333792]"
3_hour_11,powerlognorm,"[0.10186275544982061, 0.36114166389717783, 0.013457740757352479, 0.10136405471474828]"
3_hour_12,powerlognorm,"[0.08539915431530722, 0.3392925479243203, 0.010748828888065517, 0.10318396946116296]"
3_hour_13,powerlognorm,"[0.14083288256264284, 0.3935460680883256, -0.0011186675052620128, 0.1278144520132434]"
3_hour_14,lognorm,"[0.857218899439155, 0.0247549268666541, 0.2938444844759175]"
3_hour_15,powerlognorm,"[0.1442688962925355, 0.39827554212035726, 0.0073727576144171315, 0.12125891646925313]"
3_hour_16,powerlognorm,"[0.09982098687954877, 0.33796921850764755, 0.002336625624978444, 0.12989926881283326]"
