cells,panels,penalty_v,penalty_p,cost,sum_d
70,40,1551.3804762467762,148.49382195452554,33980,29741.646866580075
80,40,1034.7697007250595,80.1347044703129,34720,29741.646866580075
90,40,746.7303577480409,54.76846278470871,35460,29741.646866580075
100,40,567.2028994379058,44.24502884894281,36200,29741.646866580075
110,40,457.2681720627495,38.70979696584695,36940,29741.646866580075
120,40,384.704087435234,35.168145844598236,37680,29741.646866580075
130,40,327.8769485819944,32.90580702870554,38420,29741.646866580075
140,40,277.86922742577326,31.263045530592404,39160,29741.646866580075
150,40,253.39359259122475,29.86769452714731,39900,29741.646866580075
160,40,245.3098089066012,28.82566533100767,40640,29741.646866580075
170,40,232.5896842043373,28.335053389207484,41380,29741.646866580075
180,40,213.00170427558766,27.988935186167375,42120,29741.646866580075
190,40,193.25982568096157,27.735592418721815,42860,29741.646866580075
200,40,180.54154356844282,27.549251494250864,43600,29741.646866580075
70,42,1447.592111754437,242.62928752632826,35420,29741.646866580075
80,42,808.0382994659882,167.54646085676086,36160,29741.646866580075
90,42,416.08562944329844,141.04643584305785,36900,29741.646866580075
100,42,193.64399978432994,130.1249798848281,37640,29741.646866580075
110,42,81.25478037959907,123.39815295588753,38380,29741.646866580075
120,42,31.167137692411874,118.7431894718724,39120,29741.646866580075
130,42,11.704576444224859,115.14259324885322,39860,29741.646866580075
140,42,4.470722516374685,112.18770856972824,40600,29741.646866580075
150,42,2.1653716924080393,109.69369695246338,41340,29741.646866580075
160,42,1.637849809423053,107.67785702982957,42080,29741.646866580075
170,42,1.4686403358571614,105.996591915051,42820,29741.646866580075
180,42,1.383611539095987,104.62647533672255,43560,29741.646866580075
190,42,1.3107898791435622,103.50919687877779,44300,29741.646866580075
200,42,1.245250385186385,102.54928991453144,45040,29741.646866580075
70,44,1417.7022662794393,343.4956908854325,36860,29741.646866580075
80,44,740.2496010256809,255.82855974188493,37600,29741.646866580075
90,44,334.3364560726687,226.06365981322602,38340,29741.646866580075
100,44,132.31103161800178,209.50789663611957,39080,29741.646866580075
110,44,44.67120414592654,198.24209015672875,39820,29741.646866580075
120,44,13.967123731196313,189.39526170510962,40560,29741.646866580075
130,44,4.628017228129797,182.052686909847,41300,29741.646866580075
140,44,1.8613829215078233,175.8636393934382,42040,29741.646866580075
150,44,1.3013184828135085,170.63657907410854,42780,29741.646866580075
160,44,1.1841662093114702,166.1746593297762,43520,29741.646866580075
170,44,1.1145093734696192,162.3969131773582,44260,29741.646866580075
180,44,1.0525921860546412,159.1552173775296,45000,29741.646866580075
190,44,0.9971925973149207,156.36346162597692,45740,29741.646866580075
200,44,0.9473329674491754,153.93557369164566,46480,29741.646866580075
70,46,1411.0218953952449,441.1300980554901,38300,29741.646866580075
80,46,723.2262810586203,341.8113668266982,39040,29741.646866580075
90,46,314.9853537034766,305.54361765827696,39780,29741.646866580075
100,46,117.44859675123404,283.1941998758952,40520,29741.646866580075
110,46,37.031562128208364,266.8973232259088,41260,29741.646866580075
