cells,panels,penalty_v,penalty_p,cost,sum_d
70,20,7300.341868974471,0.0,19580,34485.9762968855
110,20,7302.895188723691,0.0,22540,34485.9762968855
150,20,7358.895781839973,0.0,25500,34485.9762968855
190,20,7391.5659060318085,0.0,28460,34485.9762968855
230,20,7412.709131332853,0.0,31420,34485.9762968855
70,40,2819.9024392273977,84.98856364890571,33980,34485.9762968855
110,40,2983.6558893870742,0.0,36940,34485.9762968855
150,40,3466.015291364651,0.0,39900,34485.9762968855
190,40,3951.752154940255,0.0,42860,34485.9762968855
230,40,4420.990052748745,0.0,45820,34485.9762968855
70,60,2284.9668317440587,963.319131270781,48380,34485.9762968855
110,60,235.1430498390783,505.05058088230146,51340,34485.9762968855
150,60,10.929049008049494,405.9285818604809,54300,34485.9762968855
190,60,1.3153001502965616,351.262049750738,57260,34485.9762968855
230,60,0.5087650617645598,316.81968517219605,60220,34485.9762968855
70,80,2283.5937681328655,1823.5326041029286,62780,34485.9762968855
110,80,233.7887530484269,1090.7098939033551,65740,34485.9762968855
150,80,8.972074970299433,851.7949448205568,68700,34485.9762968855
190,80,1.0446633317993024,715.7372031658839,71660,34485.9762968855
230,80,0.47393525807790443,627.8613604365418,74620,34485.9762968855
70,100,2283.261147075181,2701.3593499861076,77180,34485.9762968855
110,100,233.35376044671486,1655.2056096008298,80140,34485.9762968855
150,100,8.972074970299433,1276.264692758045,83100,34485.9762968855
190,100,1.0446633317993024,1058.8314200585917,86060,34485.9762968855
230,100,0.47393525807790443,917.4725977931361,89020,34485.9762968855
70,20,7265.200162333676,0.0,19580,34341.51266199821
110,20,7277.973668209209,0.0,22540,34341.51266199821
150,20,7339.162975035453,0.0,25500,34341.51266199821
190,20,7374.822456699888,0.0,28460,34341.51266199821
230,20,7397.882467010975,0.0,31420,34341.51266199821
70,40,2789.9409996271584,85.69199310994361,33980,34341.51266199821
110,40,2951.7482459205066,0.0,36940,34341.51266199821
150,40,3432.358981274369,0.0,39900,34341.51266199821
190,40,3917.6989014932788,0.0,42860,34341.51266199821
230,40,4392.946031945126,0.0,45820,34341.51266199821
70,60,2288.1781098317765,969.7367422916404,48380,34341.51266199821
110,60,228.41075544242153,509.17178732531505,51340,34341.51266199821
150,60,6.131310498599105,410.01346539012104,54300,34341.51266199821
190,60,0.9006747791197409,354.9540606122902,57260,34341.51266199821
230,60,0.6032811629966162,320.00521508610956,60220,34341.51266199821
70,80,2287.3713317626166,1830.094335495333,62780,34341.51266199821
110,80,228.07521889994987,1095.7845567890877,65740,34341.51266199821
150,80,5.988648895739449,855.9342615529293,68700,34341.51266199821
190,80,0.9006747791197409,719.0675630574087,71660,34341.51266199821
230,80,0.6032811629966162,630.634751892543,74620,34341.51266199821
70,100,2287.3713317626166,2707.7597031369,77180,34341.51266199821
110,100,228.07521889994987,1659.7697008063824,80140,34341.51266199821
150,100,5.988648895739449,1280.2157377895828,83100,34341.51266199821
190,100,0.9006747791197409,1062.0936314450357,86060,34341.51266199821
230,100,0.6032811629966162,920.2184814882523,89020,34341.51266199821
70,20,7263.405367957308,0.0,19580,34305.50586285461
110,20,7277.488982727018,0.0,22540,34305.50586285461
150,20,7339.671233108405,0.0,25500,34305.50586285461
190,20,7376.09038868443,0.0,28460,34305.50586285461
230,20,7399.713571303664,0.0,31420,34305.50586285461
70,40,2779.282805173811,86.3055170773322,33980,34305.50586285461
110,40,2919.040337157198,0.0,36940,34305.50586285461
150,40,3400.8436592067155,0.0,39900,34305.50586285461
190,40,3891.930103663084,0.0,42860,34305.50586285461
230,40,4370.637687846027,0.0,45820,34305.50586285461
70,60,2257.2678991058046,966.005213952918,48380,34305.50586285461
110,60,224.27621556302512,510.98631216265835,51340,34305.50586285461
150,60,5.584034212120323,411.66500855627106,54300,34305.50586285461
190,60,0.5724741636977307,356.31398691900614,57260,34305.50586285461
230,60,0.47291343957638615,321.18920002367815,60220,34305.50586285461
70,80,2256.3924399244374,1827.0687168141196,62780,34305.50586285461
110,80,222.82138422116446,1096.6854988268149,65740,34305.50586285461
150,80,5.3153292508007,857.0106203719519,68700,34305.50586285461
190,80,0.5724741636977307,720.0285096237329,71660,34305.50586285461
230,80,0.47291343957638615,631.4709229725582,74620,34305.50586285461
70,100,2256.2556031669274,2704.2361667860805,77180,34305.50586285461
110,100,222.82138422116446,1661.3257524798014,80140,34305.50586285461
150,100,5.3153292508007,1281.6916282614336,83100,34305.50586285461
190,100,0.5724741636977307,1063.3206462250344,86060,34305.50586285461
230,100,0.47291343957638615,921.3449017264636,89020,34305.50586285461
