cells,panels,penalty_v,penalty_p,cost,sum_d
70,20,6396.062475078405,0.0,19580,28456.27594701177
110,20,6646.603269174179,0.0,22540,28456.27594701177
150,20,6851.983879542511,0.0,25500,28456.27594701177
190,20,6972.53123360325,0.0,28460,28456.27594701177
230,20,7050.900215327171,0.0,31420,28456.27594701177
70,40,1207.3973361296814,199.94982934458037,33980,28456.27594701177
110,40,76.21106986344587,111.30953511811678,36940,28456.27594701177
150,40,2.4981025680183473,99.70071256970337,39900,28456.27594701177
190,40,1.2312248550806764,94.53704011970288,42860,28456.27594701177
230,40,1.0170987933275142,92.55593722039467,45820,28456.27594701177
70,60,1127.0197829789238,1139.3019847783473,48380,28456.27594701177
110,60,17.982346926288844,760.3076033174784,51340,28456.27594701177
150,60,0.4980155079979123,607.5740311179633,54300,28456.27594701177
190,60,0.3931701378930891,520.0544337196321,57260,28456.27594701177
230,60,0.32479272260733427,463.8439052812597,60220,28456.27594701177
70,80,1126.8543386818449,2006.7972349849888,62780,28456.27594701177
110,80,17.96193510274484,1334.234117437821,65740,28456.27594701177
150,80,0.4980155079979123,1042.4351605736806,68700,28456.27594701177
190,80,0.3931701378930891,874.4231833574477,71660,28456.27594701177
230,80,0.32479272260733427,765.4898908455025,74620,28456.27594701177
70,100,1126.8543386818449,2857.2167021136615,77180,28456.27594701177
110,100,17.96193510274484,1885.5742394307813,80140,28456.27594701177
150,100,0.4980155079979123,1451.636396889639,83100,28456.27594701177
190,100,0.3931701378930891,1200.4670685877438,86060,28456.27594701177
230,100,0.32479272260733427,1036.820440485631,89020,28456.27594701177
70,20,6406.615442283224,0.0,19580,28623.954251393563
110,20,6653.934483376682,0.0,22540,28623.954251393563
150,20,6857.75852698495,0.0,25500,28623.954251393563
190,20,6977.598952714796,0.0,28460,28623.954251393563
230,20,7055.493642377863,0.0,31420,28623.954251393563
70,40,1251.664882644268,194.69287617028536,33980,28623.954251393563
110,40,102.72419591341732,103.41954264343907,36940,28623.954251393563
150,40,11.511610855783651,92.23780008909614,39900,28623.954251393563
190,40,4.008037367997494,87.7725503613279,42860,28623.954251393563
230,40,1.8861392621113344,86.28151270592096,45820,28623.954251393563
70,60,1175.9860595172845,1135.1497301403278,48380,28623.954251393563
110,60,26.478865130213162,753.2754475352405,51340,28623.954251393563
150,60,2.0263154737498326,601.8741288441222,54300,28623.954251393563
190,60,0.7002329920772858,515.3749297377249,57260,28623.954251393563
230,60,0.4287671986610614,459.7171437888121,60220,28623.954251393563
70,80,1175.846519320265,2002.2068244615878,62780,28623.954251393563
110,80,26.478865130213162,1327.5036718097078,65740,28623.954251393563
150,80,1.8418212920151853,1036.8237883776956,68700,28623.954251393563
190,80,0.7002329920772858,869.6592374482946,71660,28623.954251393563
230,80,0.4287671986610614,761.2631775660467,74620,28623.954251393563
70,100,1175.846519320265,2853.682549874683,77180,28623.954251393563
110,100,26.478865130213162,1879.2539603697185,80140,28623.954251393563
150,100,1.8418212920151853,1446.582375896486,83100,28623.954251393563
190,100,0.7002329920772858,1196.4293771302837,86060,28623.954251393563
230,100,0.4287671986610614,1033.4478186620788,89020,28623.954251393563
70,20,6391.518467523028,0.0,19580,28557.245446918227
110,20,6639.216639782172,0.0,22540,28557.245446918227
150,20,6846.688834909535,0.0,25500,28557.245446918227
190,20,6968.857059909683,0.0,28460,28557.245446918227
230,20,7048.403048217042,0.0,31420,28557.245446918227
70,40,1215.8483576802096,196.1130334274205,33980,28557.245446918227
110,40,72.67571062277496,106.90505296359973,36940,28557.245446918227
150,40,6.176317152887396,95.49492441124677,39900,28557.245446918227
190,40,2.0961007407357948,90.67598246223999,42860,28557.245446918227
230,40,1.6707616985701468,88.8867584076709,45820,28557.245446918227
70,60,1139.849688852711,1135.9329372428056,48380,28557.245446918227
110,60,17.638678379928667,756.5534758653415,51340,28557.245446918227
150,60,0.7253083508996385,604.6694748391967,54300,28557.245446918227
190,60,0.4889605558956298,517.773386050568,57260,28557.245446918227
230,60,0.4039239374789987,461.84019943841815,60220,28557.245446918227
70,80,1139.849688852711,2002.4317816461082,62780,28557.245446918227
110,80,17.638678379928667,1329.933859323164,65740,28557.245446918227
150,80,0.7253083508996385,1039.1338168535142,68700,28557.245446918227
190,80,0.4889605558956298,871.6897252230092,71660,28557.245446918227
230,80,0.4039239374789987,763.080844497352,74620,28557.245446918227
70,100,1139.849688852711,2853.997489867166,77180,28557.245446918227
110,100,17.638678379928667,1881.895274270684,80140,28557.245446918227
150,100,0.7253083508996385,1448.8111999214182,83100,28557.245446918227
190,100,0.4889605558956298,1198.263385630149,86060,28557.245446918227
230,100,0.4039239374789987,1034.9856329136842,89020,28557.245446918227
