cells,panels,penalty_v,penalty_p,cost,sum_d
150,30,4757.723831870001,0.0,32700,28698.513026134755
160,30,4891.025099835269,0.0,33440,28698.513026134755
170,30,5019.851292733373,0.0,34180,28698.513026134755
180,30,5141.868245146303,0.0,34920,28698.513026134755
190,30,5256.003618106296,0.0,35660,28698.513026134755
200,30,5361.74405207523,0.0,36400,28698.513026134755
210,30,5457.922810642246,0.0,37140,28698.513026134755
220,30,5545.349706462226,0.0,37880,28698.513026134755
230,30,5625.159938342887,0.0,38620,28698.513026134755
150,35,3362.0230437695527,0.0,36300,28698.513026134755
160,35,3513.3850608724256,0.0,37040,28698.513026134755
170,35,3664.183395858083,0.0,37780,28698.513026134755
180,35,3813.1535455250623,0.0,38520,28698.513026134755
190,35,3959.298675720413,0.0,39260,28698.513026134755
200,35,4101.850251569446,0.0,40000,28698.513026134755
210,35,4239.847262272951,0.0,40740,28698.513026134755
220,35,4371.841484438717,0.0,41480,28698.513026134755
230,35,4497.042241828065,0.0,42220,28698.513026134755
150,40,4.429417406085656,85.77833046347243,39900,28698.513026134755
160,40,2.5590835382167567,84.3600283121776,40640,28698.513026134755
170,40,1.8986958743644553,83.23903228649894,41380,28698.513026134755
180,40,1.7050598579315013,82.31998007594827,42120,28698.513026134755
190,40,1.6098088501018055,81.59289677737965,42860,28698.513026134755
200,40,1.5293184075967179,80.90363362683354,43600,28698.513026134755
210,40,1.4564937215206823,80.45806292252642,44340,28698.513026134755
220,40,1.390289461451565,80.0587855845833,45080,28698.513026134755
230,40,1.329842093562364,79.82733550243411,45820,28698.513026134755
150,45,0.652177563030556,238.080952089102,43500,28698.513026134755
160,45,0.5985888134998558,230.7249630727401,44240,28698.513026134755
170,45,0.5633777068233934,224.33860271982715,44980,28698.513026134755
180,45,0.5320789453332049,218.80020253745386,45720,28698.513026134755
190,45,0.5040747903156683,213.90286652315143,46460,28698.513026134755
200,45,0.47887105079988435,209.59017702379424,47200,28698.513026134755
210,45,0.4560676674284611,205.8322479414615,47940,28698.513026134755
220,45,0.43533731890898597,202.4740751222245,48680,28698.513026134755
230,45,0.41640960939120353,199.4825678989897,49420,28698.513026134755
150,50,0.6494140297276201,363.54643561452895,47100,28698.513026134755
160,50,0.5959980010283533,350.189481566257,47840,28698.513026134755
170,50,0.5609392950855089,338.5563362971878,48580,28698.513026134755
180,50,0.5297760009140917,328.3031520660136,49320,28698.513026134755
190,50,0.5018930534975609,319.2165636263323,50060,28698.513026134755
200,50,0.47679840082268243,311.14312255382765,50800,28698.513026134755
210,50,0.45409371506922125,303.92782752992963,51540,28698.513026134755
220,50,0.4334530916569842,297.4474346164344,52280,28698.513026134755
230,50,0.414607305063202,291.6191581812008,53020,28698.513026134755
150,55,0.6494140297276201,484.96187420614825,50700,28698.513026134755
160,55,0.5959980010283533,465.48686942672146,51440,28698.513026134755
170,55,0.5609392950855089,448.3887681697115,52180,28698.513026134755
180,55,0.5297760009140917,433.26312795960126,52920,28698.513026134755
190,55,0.5018930534975609,419.7721846865876,53660,28698.513026134755
200,55,0.47679840082268243,407.6978174105605,54400,28698.513026134755
210,55,0.45409371506922125,396.85256084438237,55140,28698.513026134755
220,55,0.4334530916569842,387.0533174240292,55880,28698.513026134755
230,55,0.414607305063202,378.13601606490744,56620,28698.513026134755
150,30,4727.688468151408,0.0,32700,28558.384058907417
160,30,4863.205195769322,0.0,33440,28558.384058907417
170,30,4993.425837219909,0.0,34180,28558.384058907417
180,30,5116.553959815785,0.0,34920,28558.384058907417
190,30,5231.874718735069,0.0,35660,28558.384058907417
200,30,5338.508219741636,0.0,36400,28558.384058907417
